Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,LEAF1A,Ethernet5,server,dc1-leaf1-server1,PCI1,True
leaf,LEAF1A,Ethernet49,mlag_peer,LEAF1B,Ethernet49,True
leaf,LEAF1A,Ethernet50,mlag_peer,LEAF1B,Ethernet50,True
leaf,LEAF1A,Ethernet51,l3spine,SPINE1,Ethernet1,True
leaf,LEAF1A,Ethernet52,l3spine,SPINE2,Ethernet1,True
leaf,LEAF1B,Ethernet5,server,dc1-leaf1-server1,PCI2,True
leaf,LEAF1B,Ethernet49,mlag_peer,LEAF1A,Ethernet49,True
leaf,LEAF1B,Ethernet50,mlag_peer,LEAF1A,Ethernet50,True
leaf,LEAF1B,Ethernet51,l3spine,SPINE1,Ethernet2,True
leaf,LEAF1B,Ethernet52,l3spine,SPINE2,Ethernet2,True
leaf,LEAF2A,Ethernet49,mlag_peer,LEAF2B,Ethernet49,True
leaf,LEAF2A,Ethernet50,mlag_peer,LEAF2B,Ethernet50,True
leaf,LEAF2A,Ethernet51,l3spine,SPINE1,Ethernet3,True
leaf,LEAF2A,Ethernet52,l3spine,SPINE2,Ethernet3,True
leaf,LEAF2B,Ethernet49,mlag_peer,LEAF2A,Ethernet49,True
leaf,LEAF2B,Ethernet50,mlag_peer,LEAF2A,Ethernet50,True
leaf,LEAF2B,Ethernet51,l3spine,SPINE1,Ethernet4,True
leaf,LEAF2B,Ethernet52,l3spine,SPINE2,Ethernet4,True
l3spine,SPINE1,Ethernet1,leaf,LEAF1A,Ethernet51,True
l3spine,SPINE1,Ethernet2,leaf,LEAF1B,Ethernet51,True
l3spine,SPINE1,Ethernet3,leaf,LEAF2A,Ethernet51,True
l3spine,SPINE1,Ethernet4,leaf,LEAF2B,Ethernet51,True
l3spine,SPINE1,Ethernet49,mlag_peer,SPINE2,Ethernet49,True
l3spine,SPINE1,Ethernet50,mlag_peer,SPINE2,Ethernet50,True
l3spine,SPINE2,Ethernet1,leaf,LEAF1A,Ethernet52,True
l3spine,SPINE2,Ethernet2,leaf,LEAF1B,Ethernet52,True
l3spine,SPINE2,Ethernet3,leaf,LEAF2A,Ethernet52,True
l3spine,SPINE2,Ethernet4,leaf,LEAF2B,Ethernet52,True
l3spine,SPINE2,Ethernet49,mlag_peer,SPINE1,Ethernet49,True
l3spine,SPINE2,Ethernet50,mlag_peer,SPINE1,Ethernet50,True
